id,name,artist_credit,platform,type,first_release_date_year
1312796,"Road Trips, Volume 4, No. 4 Spectrum 4-6-82",1528,Live,Album,2011
1328323,"Daveâ€™s Picks, Volume 19: Honolulu Civic Auditorium, Honolulu, HI â€¢ 1/23/70",1528,Live,Album,2016
1340945,"Ringo Starr & His All Starr Band: Tour 2003",1447683,Live,Album,2004
1341457,"America's Blue Yodeler, 1930-1931",36340,Compilation,Album,1991
1341466,"Ringo Starr & His All Starr Band: Live 2006",1447683,Live,Album,2008
1343930,"Daveâ€™s Picks, Volume 9: Harry Adams Field House, University of Montana, Missoula, MT â€¢ 5/14/74",1528,Live,Album,2014
1363139,"Always Starting to Stop",31126,Live,Album,2012
1363370,"Playlist: The Very Best of Runâ€D.M.C.",1152861,Compilation,Album,2009
1381233,"Daveâ€™s Picks, Volume 10: Thelma, Los Angeles, CA â€¢ 12/12/69",1528,Live,Album,2014
1382388,"Carnival: An Original Cast Recording",241559,Soundtrack,Album,1961
1382741,"Pavarotti & Friends for Cambodia and Tibet",981165,Live,Album,2000
1384279,"An Interview With Chuck D",917,Interview,Other,1994
1399264,"Universal Music Group Record Store Day Sampler 2012",1298824,Compilation,Album,2012
1413759,"Wake Up to Find Out: Nassau Coliseum, 3/29/90",1528,Live,Album,2014
1470545,"Family Dog at the Great Highway, San Francisco, CA, April 18, 1970",1528,Live,Album,2013
1474586,"Live at St. Douglas Convent",113961,Spokenword,Album,1980
1483593,"Allan Shermanâ€™s Mother Presents My Son, the Folk Singer: Singing Very Funny Folk Songs",33926,Live,Album,1962
1488447,"Daveâ€™s Picks, Volume 13: Winterland, San Francisco, CA â€¢ 2/24/74",1528,Live,Album,2015
1498540,"70â€™s Greatest Rock Hits, Volume 14: Kings of Rock",1298824,Compilation,Album,1992
1499371,"Super Smash Bros. for Nintendo 3DS/Wii U",1298824,Soundtrack,Album,2015
1509464,"Jive Rap Sampler",1298824,Compilation,Album,1999
1517946,"Daveâ€™s Picks, Volume 11: Century II Convention Center, Wichita, KS â€¢ 11/17/72",1528,Live,Album,2014
1519807,"Forever Man",938,Compilation,Album,2015
1535137,"All My Friends: Celebrating the Songs & Voice of Gregg Allman",1298824,Live,Album,2014
1545890,"Daveâ€™s Picks, Volume 12: Colgate University, Hamilton, NY â€¢ 11/4/77",1528,Live,Album,2014
1546172,"Daveâ€™s Picks, Volume 14: Academy of Music, New York, NY â€¢ 3/26/72",1528,Live,Album,2015
