artist_id,genre,count
5374,"hard bop",1
5374,bebop,1
5374,"vocal jazz",1
5374,"cool jazz",1
5381,jazz,2
5381,blues,1
5381,"hard bop",2
5381,jazz-funk,1
5381,"soul jazz",2
5437,jazz,2
5437,"latin jazz",1
5444,jazz,5
5444,"cool jazz",3
5462,jazz,1
5467,jazz,1
5467,"soul jazz",1
5496,jazz,1
5496,swing,1
5496,"vocal jazz",1
5498,classical,1
5498,jazz,3
5498,"cool jazz",1
5642,post-hardcore,1
6209,blues,1
6209,"country blues",1
6210,blues,1
6219,blues,3
6219,"country blues",1
6219,"acoustic blues",1
6439,blues,6
